indice_tiempo,produccion_petroleo_crudo,productos_procesados,petroleo_crudo_procesado,produccion_gasoil,produccion_nafta_comun_mayor83_ron,produccion_nafta_super_mayor93_ron,produccion_nafta_mayor97_ron,produccion_fuel_oil,produccion_mezclas_ifo,produccion_butano,produccion_propano,produccion_aerokerosene,produccion_coque,ventas_gasoil,ventas_nafta_comun_mayor83_ron,ventas_nafta_super_mayor93_ron,ventas_nafta_mayor97_ron,despachos_asfalto
2002-03-01,3775.107334,2394.83,2393.436,966.053,121.619,377.173,62.516,139.523,,78.573,80.919,135.095,134.923,829.5246500000001,81.2676,215.0765,42.76,23.485
2002-04-01,3662.172528000001,2412.98,2411.338,991.096,143.55,340.059,62.5,164.698,,77.164,77.811,92.595,132.688,849.65684,85.68497,198.41970999999998,36.565,30.423
2002-05-01,3739.9596200000015,2476.08,2474.704,909.297,175.309,309.552,107.495,181.388,,88.487,87.111,134.856,137.579,925.1997299999999,96.421,192.39488,35.76,27.954
2002-06-01,3608.714734999998,2363.9,2362.99,894.6623000000001,151.154,300.4765,61.904300000000006,168.929,,83.891,76.953,103.578,134.808,833.3464,92.09979,172.1474,29.525,26.767
2002-07-01,3756.708476,2398.9,2398.938,799.6732,161.5455,321.1361,74.001,151.1,,90.24789999999999,81.007,130.55,128.32,898.8421,97.6525,184.38,32.179,32.053
2002-08-01,3689.288308999999,2266.5,2266.497,821.6522,156.737,302.033,60.932,144.30120000000002,,87.8933,79.556,148.079,115.681,830.4379,94.715,180.67589999999998,30.935,18.894
2002-09-01,3593.457808000001,2427.7,2427.677,862.1686,183.292,300.8585,67.924,154.134,,93.3251,87.346,144.727,142.387,794.29288,81.43274000000001,161.09728,27.559,26.834
2002-10-01,3676.256671000002,2552.12,2552.1234599609375,1000.8866999999999,132.2022,297.8109,112.515,157.5645,,88.6581,86.849,122.637,144.496,812.22647,84.0292,171.8099,33.09,31.529
2002-11-01,3539.7630489999997,2461.39,2461.3923999023436,1005.0508,149.5468,290.603,86.794,153.89634,,77.8931,78.56,120.319,142.701,834.36347,80.218,169.02798,33.773,31.791
2002-12-01,3770.9366390000023,2623.746,2623.746,1058.816,228.426,243.795,142.996,157.256,,93.042,81.534,130.192,142.148,869.74898,88.2711,190.5324,39.999,30.351
2003-01-01,3633.100908,2553.9,2553.880299987793,1013.382433,133.8251,300.7098,109.335,161.124222,,87.6555,82.857,143.055,147.605,800.04377,80.92730999999999,186.48060999999998,41.9854,31.602
2003-02-01,3300.2802129999986,2268.4,2268.385,882.4671999999999,128.245,236.10420000000002,109.479,183.393,,88.6318,74.622,114.424,127.804,797.24803,70.55728,166.57804000000002,38.136,18.098
2003-03-01,3678.934680000002,2516.5,2516.452,999.1824,130.9309,281.3048,84.977,153.041,,98.0975,86.946,113.386,150.35,905.16999,71.74042,169.15073,37.917199999999994,40.909
2003-04-01,3593.573987999999,2489.4,2489.413,993.9528399999999,130.821,229.302,130.332,157.2487,,97.19369999999999,80.909,94.627,138.838,865.888965,72.989496,173.198562,40.045,50.141
2003-05-01,3718.304031999997,2572.8,2572.802,1026.2276,164.627,269.386,78.857,150.136,,101.901,86.515,90.703,145.501,892.63224,68.694,162.88376,40.4864,33.928
2003-06-01,3576.258034,2550.8,2550.841,973.896,139.126,210.707,137.152,151.797,,107.335,87.866,107.363,146.685,830.617,64.2168,155.467,40.135,43.485
2003-07-01,3675.745126000004,2589.6,2589.565669921875,1046.6367,219.547,202.355,132.946,148.71820000000002,,97.173,83.918,98.583,145.02,848.13928,69.01060000000001,173.9536,43.9571,35.269
2003-08-01,3672.4620579812013,2600.4,2600.3646302337647,1000.3492199999998,239.9385,232.29785,92.34647,163.44530000000003,,90.474,84.982,124.956,142.671,844.38868,64.4423,168.27845000000002,41.90147,30.316
2003-09-01,3521.734801999999,2435.6,2435.5803003845217,937.112,198.9254,305.95509999999996,59.634699999999995,189.878,,96.6503,79.059,134.22,133.453,864.4322,64.0227,165.3688,43.1676,43.919
